"filename", "language", "C#", "comment", "blank", "total"
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\Debug\ConsoleCommandsManager.cs", "C#", 70, 0, 9, 79
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\Debug\DebugCommand.cs", "C#", 54, 0, 5, 59
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\Debug\DebugConsole.cs", "C#", 32, 0, 8, 40
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\Debug\Debug_Manager.cs", "C#", 67, 0, 13, 80
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\Game_Manager.cs", "C#", 114, 3, 21, 138
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\GridCelll.cs", "C#", 36, 0, 3, 39
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\HartLib\BresenhamLine.cs", "C#", 56, 0, 9, 65
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\HartLib\Fov.cs", "C#", 204, 10, 38, 252
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\HartLib\HartLib.cs", "C#", 149, 15, 31, 195
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\HartLib\ImageProcessing.cs", "C#", 49, 2, 13, 64
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\HartLib\PathFinding\PathFindingCell.cs", "C#", 37, 0, 10, 47
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\HartLib\PathFinding\Pathfinding.cs", "C#", 232, 4, 66, 302
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\HartLib\Vector.cs", "C#", 188, 1, 32, 221
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\Helpers.cs", "C#", 7, 0, 2, 9
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\Interfaces\IContextable.cs", "C#", 5, 1, 3, 9
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\Interfaces\IHealth.cs", "C#", 9, 0, 3, 12
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\Interfaces\IMouseable.cs", "C#", 10, 0, 2, 12
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\Interfaces\INameable.cs", "C#", 4, 0, 2, 6
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\Interfaces\ISelectable.cs", "C#", 7, 0, 2, 9
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\Interfaces\ITurnable.cs", "C#", 9, 0, 3, 12
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\Main.cs", "C#", 88, 5, 24, 117
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\Map.cs", "C#", 111, 0, 16, 127
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\Map_Objects\Entity.cs", "C#", 32, 0, 6, 38
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\Map_Objects\MapObject.cs", "C#", 53, 1, 8, 62
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\Map_Objects\PlayerCharacter.cs", "C#", 102, 16, 28, 146
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\Map_Objects\SpriteMapObject.cs", "C#", 92, 3, 19, 114
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\Popups\ContextMenu.cs", "C#", 95, 8, 21, 124
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\Popups\InfoPopupWindow.cs", "C#", 5, 0, 4, 9
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\Popups\PopupInfoWindow.cs", "C#", 16, 0, 5, 21
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\Popups\PopupNew.cs", "C#", 5, 0, 7, 12
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\Popups\PopupTest.cs", "C#", 9, 0, 4, 13
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\Selector.cs", "C#", 18, 0, 7, 25
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\States_Machine\GameState.cs", "C#", 33, 2, 9, 44
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\States_Machine\NpcTurnState .cs", "C#", 8, 0, 2, 10
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\States_Machine\PlayerTurnState.cs", "C#", 8, 5, 6, 19
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\States_Machine\StartState.cs", "C#", 8, 0, 3, 11
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\States_Machine\TransitionState.cs", "C#", 8, 0, 2, 10
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\TwoPointLine.cs", "C#", 30, 1, 7, 38
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\UI.cs", "C#", 11, 1, 3, 15
"d:\DokumentyITD\coding_stuff\VaultCom\Scripts\WorldLayer.cs", "C#", 8, 0, 3, 11
"Total", "-", 2079, 78, 459, 2616